TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1545450099724	-101.829636	37.600700	-11.844941	0.036450	0.002183	0.045230	-0.998309	1.000000	0.000000	0.000000	1	0	2316.068848	6.099987	img__0_1545450099722645400.png
1545450099829	-102.419052	37.552284	-11.850575	0.037017	-0.000252	0.048466	-0.998139	1.000000	0.000000	0.000000	1	0	2805.267334	5.826787	img__0_1545450099825114600.png
1545450099926	-102.978218	37.518005	-11.850224	0.036416	-0.000101	0.046990	-0.998231	1.000000	0.000000	0.000000	1	0	3199.905762	5.980718	img__0_1545450099924490500.png
1545450100042	-103.551758	37.479042	-11.857646	0.035228	-0.000010	0.041127	-0.998533	1.000000	0.000000	0.000000	1	0	3630.820313	5.881331	img__0_1545450100040153900.png
1545450100144	-104.120918	37.436874	-11.860801	0.035131	-0.000369	0.039166	-0.998615	1.000000	0.000000	0.000000	1	0	4092.637451	5.778525	img__0_1545450100142162400.png
1545450100241	-104.679810	37.398319	-11.865078	0.033020	0.002408	0.039437	-0.998673	1.000000	0.000000	0.000000	1	0	4375.916504	5.924820	img__0_1545450100238743200.png
1545450100340	-105.252304	37.370918	-11.867314	0.028745	0.003673	0.038000	-0.998857	1.000000	-0.500000	0.000000	1	0	4656.668457	6.050887	img__0_1545450100337427400.png
1545450100451	-105.840660	37.380215	-11.860918	0.011611	0.000462	0.032896	-0.999391	0.000000	-0.500000	0.000000	1	0	4467.145996	6.225574	img__0_1545450100446451200.png
1545450100562	-106.461426	37.435642	-11.856015	0.015568	0.000912	-0.031355	0.999387	0.000000	-0.500000	0.000000	1	0	3588.346436	6.414183	img__0_1545450100560311600.png
1545450100660	-107.088341	37.529961	-11.856641	0.044828	0.003349	-0.028414	0.998585	0.000000	0.000000	0.000000	1	0	2916.697754	6.571065	img__0_1545450100658261500.png
1545450100755	-107.730560	37.604099	-11.852920	0.051869	0.005162	-0.028177	0.998243	0.000000	0.000000	0.000000	1	0	2421.719971	6.617504	img__0_1545450100753176200.png
1545450100851	-108.352310	37.664532	-11.846035	0.048806	0.003071	-0.028959	0.998384	1.000000	0.000000	0.000000	1	0	2252.166016	6.432030	img__0_1545450100847556400.png
1545450100969	-108.958534	37.719551	-11.844082	0.049647	0.000573	-0.032817	0.998227	1.000000	0.000000	0.000000	1	0	2512.628418	6.165980	img__0_1545450100962566300.png
1545450101075	-109.562592	37.781464	-11.835507	0.050016	0.001082	-0.031923	0.998238	1.000000	0.000000	0.000000	1	0	2956.460205	6.157784	img__0_1545450101065614000.png
1545450101171	-110.153427	37.841209	-11.828193	0.051778	0.002742	-0.027355	0.998280	1.000000	0.000000	0.000000	1	0	3449.548828	6.143932	img__0_1545450101165977800.png
1545450101278	-110.736366	37.896290	-11.822266	0.052261	0.004676	-0.024983	0.998310	1.000000	0.000000	0.000000	1	0	3859.274902	6.002913	img__0_1545450101274968800.png
1545450101382	-111.310509	37.952557	-11.815976	0.053464	0.008755	-0.026258	0.998186	1.000000	-0.500000	0.000000	1	0	4263.705078	6.009114	img__0_1545450101380273300.png
1545450101489	-111.882996	38.033924	-11.806191	0.061137	0.009363	-0.022547	0.997831	1.000000	-0.500000	0.000000	1	0	4613.979980	6.072972	img__0_1545450101483112100.png
1545450101594	-112.468979	38.153553	-11.798594	0.081201	0.008474	-0.018733	0.996486	1.000000	-0.500000	0.000000	1	0	4886.778320	6.152182	img__0_1545450101591571100.png
1545450101698	-113.049942	38.301231	-11.786366	0.102404	0.008348	-0.021978	0.994465	1.000000	0.000000	0.000000	0	0	4899.974121	6.342692	img__0_1545450101695091800.png
1545450101793	-113.643227	38.442654	-11.770283	0.110134	0.006161	-0.028707	0.993483	1.000000	0.000000	0.000000	2	0	4494.212402	6.188178	img__0_1545450101791490400.png
1545450101887	-114.232040	38.576267	-11.754863	0.109286	0.007705	-0.035714	0.993339	1.000000	0.000000	0.000000	2	0	4457.431641	6.503443	img__0_1545450101884675900.png
1545450102002	-114.845604	38.716114	-11.740684	0.109868	0.008792	-0.041116	0.993056	1.000000	0.000000	0.000000	2	0	4472.521484	6.915988	img__0_1545450101997434000.png
1545450102093	-115.504997	38.865993	-11.727217	0.109270	0.006726	-0.040403	0.993168	1.000000	0.500000	0.000000	2	0	4497.420898	7.075473	img__0_1545450102092130000.png
1545450102197	-116.203217	38.993202	-11.707207	0.098435	0.008833	-0.039179	0.994333	1.000000	0.500000	0.000000	2	0	4499.253418	7.551965	img__0_1545450102193825100.png
1545450102293	-116.934235	39.093300	-11.674785	0.079943	0.011075	-0.036069	0.996085	1.000000	0.000000	0.000000	2	0	4487.861816	7.769647	img__0_1545450102291221000.png
1545450102390	-117.706146	39.214199	-11.654014	0.077680	0.014546	-0.025573	0.996544	1.000000	0.000000	0.000000	2	0	4481.143555	8.230919	img__0_1545450102388458300.png
1545450102502	-118.489899	39.325508	-11.624189	0.076402	0.016181	-0.020679	0.996731	1.000000	0.000000	0.000000	2	0	4488.949219	8.640823	img__0_1545450102497083400.png
1545450102601	-119.344292	39.448006	-11.586650	0.075692	0.014960	-0.020655	0.996805	1.000000	0.000000	0.000000	2	0	4490.898926	9.012152	img__0_1545450102597903400.png
1545450102721	-120.205971	39.576504	-11.554990	0.075825	0.016759	-0.016827	0.996838	1.000000	0.000000	0.000000	2	0	4516.002930	9.218542	img__0_1545450102714158000.png
1545450102832	-121.115494	39.711952	-11.516035	0.077967	0.015815	-0.014288	0.996728	1.000000	-0.500000	0.000000	2	0	4524.219238	9.663531	img__0_1545450102829745600.png
1545450102935	-122.037643	39.872265	-11.483134	0.089305	0.013962	-0.018566	0.995733	1.000000	0.000000	0.000000	2	0	4629.983398	9.908083	img__0_1545450102930800200.png
1545450103055	-122.990311	40.061268	-11.441796	0.097337	0.016232	-0.018652	0.994944	1.000000	0.000000	0.000000	2	0	4710.174805	10.110960	img__0_1545450103049846600.png
1545450103159	-123.968452	40.255585	-11.400419	0.098324	0.020452	-0.020828	0.994726	1.000000	0.000000	0.000000	2	0	4768.066406	10.486227	img__0_1545450103157027600.png
