TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1546452705992	0.781247	-89.128281	-0.606271	0.705646	-0.001300	0.001290	0.708562	1.000000	0.000000	0.000000	3	0	3892.760742	14.956970	img__0_1546452705990186000.png
1546452706172	0.777351	-88.128639	-0.606266	0.705647	-0.001279	0.001283	0.708561	1.000000	0.000000	0.000000	3	0	3908.971436	15.107391	img__0_1546452706169719700.png
1546452706354	0.774012	-87.118584	-0.607443	0.705677	-0.001161	0.001957	0.708530	1.000000	0.000000	0.000000	3	0	3931.429199	15.256466	img__0_1546452706351068000.png
1546452706541	0.770001	-86.098984	-0.607464	0.705704	-0.001044	0.002151	0.708503	1.000000	0.000000	0.000000	3	0	3951.828125	15.406174	img__0_1546452706537510500.png
1546452706712	0.766358	-85.070831	-0.608506	0.705702	-0.000020	0.001738	0.708507	1.000000	0.000000	0.000000	3	0	3973.296631	15.555908	img__0_1546452706710382500.png
1546452706893	0.761974	-84.031509	-0.607473	0.705672	0.000076	0.001704	0.708537	1.000000	0.000000	0.000000	3	0	3995.202393	15.704298	img__0_1546452706890908300.png
1546452707070	0.757607	-82.982124	-0.607413	0.705642	-0.000019	0.001669	0.708567	1.000000	0.000000	0.000000	3	0	4018.286377	15.851032	img__0_1546452707067160800.png
1546452707250	0.752712	-81.922485	-0.606384	0.705631	-0.000706	0.001542	0.708578	1.000000	0.000000	0.000000	3	0	4042.158447	15.997628	img__0_1546452707245727600.png
1546452707429	0.750096	-80.853561	-0.606170	0.706150	-0.000964	0.001405	0.708060	1.000000	-0.500000	0.000000	3	0	4070.403320	16.136658	img__0_1546452707426742700.png
1546452707601	0.755069	-79.775436	-0.606179	0.708453	-0.000762	0.001624	0.705756	1.000000	0.000000	0.000000	3	0	4095.630859	16.281240	img__0_1546452707599351400.png
1546452707774	0.759585	-78.687622	-0.606249	0.709404	-0.000738	0.001689	0.704799	1.000000	0.000000	0.000000	3	0	4120.624512	16.425196	img__0_1546452707771494800.png
1546452707958	0.765656	-77.590271	-0.606207	0.709776	-0.000690	0.001702	0.704425	1.000000	0.000000	0.000000	3	0	4145.710449	16.568848	img__0_1546452707956189200.png
1546452708133	0.773019	-76.483032	-0.606691	0.709947	-0.000925	0.001785	0.704252	1.000000	0.000000	0.000000	3	0	4171.327148	16.711481	img__0_1546452708128986100.png
1546452708316	0.781459	-75.366928	-0.606387	0.710035	-0.000889	0.001506	0.704164	1.000000	0.000000	0.000000	3	0	4198.165527	16.853804	img__0_1546452708312166600.png
